date,hour,usage_kwh,zone,equipment,anomaly
2024-01-15,0,2.1,Admin Block,Lighting,false
2024-01-15,1,1.8,Admin Block,Lighting,false
2024-01-15,2,1.9,Admin Block,Lighting,false
2024-01-15,3,1.7,Admin Block,Lighting,false
2024-01-15,4,1.8,Admin Block,Lighting,false
2024-01-15,5,2.2,Admin Block,Lighting,false
2024-01-15,6,8.5,Campus,Mixed,false
2024-01-15,7,18.2,Campus,Mixed,false
2024-01-15,8,35.6,Campus,AC+Lighting,false
2024-01-15,9,48.2,Campus,AC+Lighting+Equipment,false
2024-01-15,10,52.4,Campus,AC+Lighting+Equipment,false
2024-01-15,11,54.1,Campus,AC+Lighting+Equipment,false
2024-01-15,12,50.8,Campus,AC+Lighting+Equipment,false
2024-01-15,13,51.3,Campus,AC+Lighting+Equipment,false
2024-01-15,14,53.2,Campus,AC+Lighting+Equipment,false
2024-01-15,15,52.0,Campus,AC+Lighting+Equipment,false
2024-01-15,16,49.5,Campus,AC+Lighting+Equipment,false
2024-01-15,17,44.2,Campus,AC+Lighting,false
2024-01-15,18,35.8,Campus,AC+Lighting,false
2024-01-15,19,28.4,Campus,Lighting,false
2024-01-15,20,18.6,Campus,Lighting,false
2024-01-15,21,12.3,Campus,Lighting,false
2024-01-15,22,6.8,Campus,Lighting,false
2024-01-15,23,3.2,Campus,Lighting,false
2024-01-16,0,2.0,Admin Block,Lighting,false
2024-01-16,1,1.9,Admin Block,Lighting,false
2024-01-16,2,32.5,Seminar Hall,AC+Lighting,true
2024-01-16,3,34.2,Seminar Hall,AC+Lighting,true
2024-01-16,4,33.8,Seminar Hall,AC+Lighting,true
2024-01-16,5,31.9,Seminar Hall,AC+Lighting,true
2024-01-16,6,9.0,Campus,Mixed,false
2024-01-16,7,19.0,Campus,Mixed,false
2024-01-16,8,36.2,Campus,AC+Lighting,false
2024-01-16,9,49.0,Campus,AC+Lighting+Equipment,false
2024-01-16,10,53.0,Campus,AC+Lighting+Equipment,false
2024-01-16,11,54.8,Campus,AC+Lighting+Equipment,false
2024-01-16,12,51.5,Campus,AC+Lighting+Equipment,false
2024-01-16,13,52.0,Campus,AC+Lighting+Equipment,false
2024-01-16,14,53.8,Campus,AC+Lighting+Equipment,false
2024-01-16,15,52.5,Campus,AC+Lighting+Equipment,false
2024-01-16,16,50.0,Campus,AC+Lighting+Equipment,false
2024-01-16,17,44.8,Campus,AC+Lighting,false
2024-01-16,18,36.2,Campus,AC+Lighting,false
2024-01-16,19,29.0,Campus,Lighting,false
2024-01-16,20,19.2,Campus,Lighting,false
2024-01-16,21,12.8,Campus,Lighting,false
2024-01-16,22,7.2,Campus,Lighting,false
2024-01-16,23,3.5,Campus,Lighting,false
2024-01-17,0,2.1,Admin Block,Lighting,false
2024-01-17,1,1.8,Admin Block,Lighting,false
2024-01-17,2,2.0,Admin Block,Lighting,false
2024-01-17,3,1.8,Admin Block,Lighting,false
2024-01-17,4,2.0,Admin Block,Lighting,false
2024-01-17,5,2.4,Admin Block,Lighting,false
2024-01-17,6,8.8,Campus,Mixed,false
2024-01-17,7,18.5,Campus,Mixed,false
2024-01-17,8,36.0,Campus,AC+Lighting,false
2024-01-17,9,48.5,Campus,AC+Lighting+Equipment,false
2024-01-17,10,52.8,Campus,AC+Lighting+Equipment,false
2024-01-17,11,54.4,Campus,AC+Lighting+Equipment,false
2024-01-17,12,51.1,Campus,AC+Lighting+Equipment,false
2024-01-17,13,51.6,Campus,AC+Lighting+Equipment,false
2024-01-17,14,53.4,Campus,AC+Lighting+Equipment,false
