date,hour,building,occupancy_count,capacity,occupancy_pct
2024-01-15,8,Admin Block,42,60,70
2024-01-15,9,Admin Block,55,60,92
2024-01-15,10,Admin Block,58,60,97
2024-01-15,11,Admin Block,57,60,95
2024-01-15,12,Admin Block,30,60,50
2024-01-15,13,Admin Block,35,60,58
2024-01-15,14,Admin Block,52,60,87
2024-01-15,15,Admin Block,50,60,83
2024-01-15,16,Admin Block,45,60,75
2024-01-15,17,Admin Block,20,60,33
2024-01-15,18,Admin Block,5,60,8
2024-01-15,8,Seminar Hall,80,120,67
2024-01-15,9,Seminar Hall,110,120,92
2024-01-15,10,Seminar Hall,115,120,96
2024-01-15,11,Seminar Hall,118,120,98
2024-01-15,12,Seminar Hall,60,120,50
2024-01-15,13,Seminar Hall,70,120,58
2024-01-15,14,Seminar Hall,105,120,88
2024-01-15,15,Seminar Hall,100,120,83
2024-01-15,16,Seminar Hall,90,120,75
2024-01-15,17,Seminar Hall,40,120,33
2024-01-15,18,Seminar Hall,0,120,0
2024-01-15,22,Seminar Hall,0,120,0
2024-01-16,8,Lab Block,25,40,63
2024-01-16,9,Lab Block,38,40,95
2024-01-16,10,Lab Block,40,40,100
2024-01-16,11,Lab Block,39,40,98
2024-01-16,12,Lab Block,20,40,50
2024-01-16,13,Lab Block,22,40,55
2024-01-16,14,Lab Block,36,40,90
2024-01-16,15,Lab Block,35,40,88
2024-01-16,16,Lab Block,30,40,75
2024-01-16,17,Lab Block,10,40,25
2024-01-16,18,Lab Block,2,40,5
