date,hour,usage_liters,location,anomaly
2024-01-15,0,12,Campus Main,false
2024-01-15,1,8,Campus Main,false
2024-01-15,2,6,Campus Main,false
2024-01-15,3,5,Campus Main,false
2024-01-15,4,7,Campus Main,false
2024-01-15,5,15,Campus Main,false
2024-01-15,6,45,Campus Main,false
2024-01-15,7,120,Campus Main,false
2024-01-15,8,185,Campus Main,false
2024-01-15,9,210,Campus Main,false
2024-01-15,10,230,Campus Main,false
2024-01-15,11,220,Campus Main,false
2024-01-15,12,195,Campus Main,false
2024-01-15,13,200,Campus Main,false
2024-01-15,14,215,Campus Main,false
2024-01-15,15,205,Campus Main,false
2024-01-15,16,190,Campus Main,false
2024-01-15,17,175,Campus Main,false
2024-01-15,18,160,Campus Main,false
2024-01-15,19,140,Campus Main,false
2024-01-15,20,110,Campus Main,false
2024-01-15,21,80,Campus Main,false
2024-01-15,22,45,Campus Main,false
2024-01-15,23,20,Campus Main,false
2024-01-16,0,11,Campus Main,false
2024-01-16,1,7,Campus Main,false
2024-01-16,2,5,Campus Main,false
2024-01-16,3,98,Block-B Hostel,true
2024-01-16,4,102,Block-B Hostel,true
2024-01-16,5,95,Block-B Hostel,true
2024-01-16,6,50,Campus Main,false
2024-01-16,7,125,Campus Main,false
2024-01-16,8,188,Campus Main,false
2024-01-16,9,215,Campus Main,false
2024-01-16,10,235,Campus Main,false
2024-01-16,11,225,Campus Main,false
2024-01-16,12,198,Campus Main,false
2024-01-16,13,205,Campus Main,false
2024-01-16,14,218,Campus Main,false
2024-01-16,15,208,Campus Main,false
2024-01-16,16,195,Campus Main,false
2024-01-16,17,178,Campus Main,false
2024-01-16,18,162,Campus Main,false
2024-01-16,19,145,Campus Main,false
2024-01-16,20,115,Campus Main,false
2024-01-16,21,82,Campus Main,false
2024-01-16,22,48,Campus Main,false
2024-01-16,23,22,Campus Main,false
2024-01-17,0,10,Campus Main,false
2024-01-17,1,8,Campus Main,false
2024-01-17,2,6,Campus Main,false
2024-01-17,3,5,Campus Main,false
2024-01-17,4,7,Campus Main,false
2024-01-17,5,18,Campus Main,false
2024-01-17,6,48,Campus Main,false
2024-01-17,7,122,Campus Main,false
2024-01-17,8,190,Campus Main,false
2024-01-17,9,212,Campus Main,false
2024-01-17,10,232,Campus Main,false
2024-01-17,11,222,Campus Main,false
2024-01-17,12,197,Campus Main,false
2024-01-17,13,202,Campus Main,false
2024-01-17,14,216,Campus Main,false
2024-01-17,15,206,Campus Main,false
2024-01-17,16,192,Campus Main,false
2024-01-17,17,176,Campus Main,false
2024-01-17,18,161,Campus Main,false
2024-01-17,19,142,Campus Main,false
2024-01-17,20,112,Campus Main,false
2024-01-17,21,81,Campus Main,false
2024-01-17,22,46,Campus Main,false
2024-01-17,23,21,Campus Main,false
2024-01-18,0,11,Campus Main,false
2024-01-18,1,7,Campus Main,false
2024-01-18,2,5,Campus Main,false
2024-01-18,3,6,Campus Main,false
2024-01-18,4,8,Campus Main,false
2024-01-18,5,16,Campus Main,false
2024-01-18,6,46,Campus Main,false
2024-01-18,7,118,Campus Main,false
2024-01-18,8,182,Campus Main,false
2024-01-18,9,208,Campus Main,false
2024-01-18,10,228,Campus Main,false
2024-01-18,11,218,Campus Main,false
2024-01-18,12,193,Campus Main,false
2024-01-18,13,198,Campus Main,false
2024-01-18,14,212,Campus Main,false
2024-01-18,15,202,Campus Main,false
2024-01-18,16,188,Campus Main,false
2024-01-18,17,172,Campus Main,false
2024-01-18,18,158,Campus Main,false
2024-01-18,19,138,Campus Main,false
2024-01-18,20,108,Campus Main,false
2024-01-18,21,78,Campus Main,false
2024-01-18,22,44,Campus Main,false
2024-01-18,23,19,Campus Main,false
2024-01-19,0,12,Campus Main,false
2024-01-19,1,8,Campus Main,false
2024-01-19,2,110,Lab Block,true
2024-01-19,3,115,Lab Block,true
2024-01-19,4,108,Lab Block,true
2024-01-19,5,112,Lab Block,true
2024-01-19,6,48,Campus Main,false
2024-01-19,7,120,Campus Main,false
2024-01-19,8,186,Campus Main,false
2024-01-19,9,210,Campus Main,false
2024-01-19,10,230,Campus Main,false
2024-01-19,11,220,Campus Main,false
2024-01-19,12,195,Campus Main,false
2024-01-19,13,200,Campus Main,false
2024-01-19,14,214,Campus Main,false
2024-01-19,15,204,Campus Main,false
2024-01-19,16,190,Campus Main,false
2024-01-19,17,174,Campus Main,false
2024-01-19,18,160,Campus Main,false
2024-01-19,19,140,Campus Main,false
2024-01-19,20,110,Campus Main,false
2024-01-19,21,80,Campus Main,false
2024-01-19,22,46,Campus Main,false
2024-01-19,23,21,Campus Main,false
2024-01-20,0,10,Campus Main,false
2024-01-20,1,7,Campus Main,false
2024-01-20,2,6,Campus Main,false
2024-01-20,3,5,Campus Main,false
2024-01-20,4,7,Campus Main,false
2024-01-20,5,15,Campus Main,false
2024-01-20,6,45,Campus Main,false
2024-01-20,7,118,Campus Main,false
2024-01-20,8,185,Campus Main,false
2024-01-20,9,209,Campus Main,false
2024-01-20,10,228,Campus Main,false
2024-01-20,11,218,Campus Main,false
2024-01-20,12,195,Campus Main,false
2024-01-20,13,198,Campus Main,false
2024-01-20,14,212,Campus Main,false
2024-01-20,15,202,Campus Main,false
2024-01-20,16,188,Campus Main,false
2024-01-20,17,172,Campus Main,false
2024-01-20,18,158,Campus Main,false
2024-01-20,19,138,Campus Main,false
2024-01-20,20,108,Campus Main,false
2024-01-20,21,78,Campus Main,false
2024-01-20,22,44,Campus Main,false
2024-01-20,23,18,Campus Main,false
2024-01-21,0,11,Campus Main,false
2024-01-21,1,7,Campus Main,false
2024-01-21,2,6,Campus Main,false
2024-01-21,3,5,Campus Main,false
2024-01-21,4,8,Campus Main,false
2024-01-21,5,16,Campus Main,false
2024-01-21,6,46,Campus Main,false
2024-01-21,7,119,Campus Main,false
2024-01-21,8,184,Campus Main,false
2024-01-21,9,208,Campus Main,false
2024-01-21,10,228,Campus Main,false
2024-01-21,11,218,Campus Main,false
2024-01-21,12,194,Campus Main,false
2024-01-21,13,199,Campus Main,false
2024-01-21,14,213,Campus Main,false
2024-01-21,15,203,Campus Main,false
2024-01-21,16,189,Campus Main,false
2024-01-21,17,173,Campus Main,false
2024-01-21,18,159,Campus Main,false
2024-01-21,19,139,Campus Main,false
2024-01-21,20,109,Campus Main,false
2024-01-21,21,79,Campus Main,false
2024-01-21,22,45,Campus Main,false
2024-01-21,23,19,Campus Main,false
